sample,if,outUCastPkts,inOctets,outOctets,inUcastPkts,outNUCastPkts,inNUcastPkts
0,1,42,3712,3712,42,0,0
0,2,1116264,501192202,193977402,1826489,0,0
0,3,531804,165029981,304246664,833358,0,0
0,6,543696,148986334,305387459,763579,0,0
0,7,1005505,388754306,175328476,1667522,0,0
0,9,0,0,0,0,0,0
0,10,658071,12872702,99704960,61518,0,0
0,11,640973,6895550,112760293,53019,0,0
1,1,42,3712,3712,42,0,0
1,2,1116429,501302336,194000525,1826678,0,0
1,3,531813,165033462,304247978,833384,0,0
1,6,543705,148989405,305388773,763604,0,0
1,7,1005561,388761929,175333568,1667598,0,0
1,9,0,0,0,0,0,0
1,10,658112,12877280,99713296,61535,0,0
1,11,641094,6909307,112863914,53115,0,0
2,1,42,3712,3712,42,0,0
2,2,1116429,501302336,194000525,1826678,0,0
2,3,531813,165033462,304247978,833384,0,0
2,6,543705,148989405,305388773,763604,0,0
2,7,1005561,388761929,175333568,1667598,0,0
2,9,0,0,0,0,0,0
2,10,658112,12877280,99713296,61535,0,0
2,11,641094,6909307,112863914,53115,0,0
3,1,42,3712,3712,42,0,0
3,2,1116607,501359677,194019747,1826865,0,0
3,3,531814,165035426,304248248,833397,0,0
3,6,543706,148991187,305389043,763617,0,0
3,7,1005665,388777085,175342948,1667745,0,0
3,9,0,0,0,0,0,0
3,10,658177,12879259,99726634,61546,0,0
3,11,641181,6918124,112917685,53183,0,0
4,1,42,3712,3712,42,0,0
4,2,1116687,501373054,194029484,1826972,0,0
4,3,531818,165039145,304248931,833424,0,0
4,6,543709,148994266,305389640,763640,0,0
4,7,1005739,388787480,175351933,1667836,0,0
4,9,0,0,0,0,0,0
4,10,658197,12880011,99729645,61552,0,0
4,11,641196,6918124,112920186,53183,0,0
5,1,42,3712,3712,42,0,0
5,2,1116922,501437234,194075853,1827247,0,0
5,3,531826,165043617,304250254,833459,0,0
5,6,543717,148997456,305390963,763664,0,0
5,7,1005945,388820726,175384976,1668047,0,0
5,9,0,0,0,0,0,0
5,10,658234,12893337,99736555,61581,0,0
5,11,641209,6918124,112924344,53183,0,0
6,1,42,3712,3712,42,0,0
6,2,1116922,501437234,194075853,1827247,0,0
6,3,531826,165043617,304250254,833459,0,0
6,6,543717,148997456,305390963,763664,0,0
6,7,1005945,388820726,175384976,1668047,0,0
6,9,0,0,0,0,0,0
6,10,658234,12893337,99736555,61581,0,0
6,11,641238,6918124,112928555,53183,0,0
7,1,42,3712,3712,42,0,0
7,2,1117035,501455164,194088372,1827389,0,0
7,3,531832,165046220,304251771,833480,0,0
7,6,543723,148999719,305392480,763684,0,0
7,7,1006047,388832945,175394383,1668175,0,0
7,9,0,0,0,0,0,0
7,10,658279,12897317,99745669,61596,0,0
7,11,641238,6918124,112928555,53183,0,0
8,1,42,3712,3712,42,0,0
8,2,1117110,501466168,194095893,1827482,0,0
8,3,531832,165047736,304251771,833490,0,0
8,6,543723,149001095,305392480,763694,0,0
8,7,1006113,388842275,175400681,1668262,0,0
8,9,0,0,0,0,0,0
8,10,658310,12899207,99752040,61606,0,0
8,11,641262,6918279,112933718,53185,0,0
9,1,42,3712,3712,42,0,0
9,2,1117200,501476874,194109342,1827580,0,0
9,3,531836,165050921,304252325,833514,0,0
9,6,543732,149003668,305393504,763712,0,0
9,7,1006186,388850115,175408107,1668344,0,0
9,9,0,0,0,0,0,0
9,10,658348,12905604,99757599,61628,0,0
9,11,641277,6918279,112936229,53185,0,0
10,1,42,3712,3712,42,0,0
10,2,1117289,501491381,194122839,1827687,0,0
10,3,531836,165052437,304252325,833524,0,0
10,6,543732,149005044,305393504,763722,0,0
10,7,1006257,388861075,175416352,1668430,0,0
10,9,0,0,0,0,0,0
10,10,658387,12910856,99765430,61646,0,0
10,11,641292,6918279,112940543,53185,0,0
11,1,42,3712,3712,42,0,0
11,2,1117289,501491381,194122839,1827687,0,0
11,3,531836,165052437,304252325,833524,0,0
11,6,543732,149005044,305393504,763722,0,0
11,7,1006257,388861075,175416352,1668430,0,0
11,9,0,0,0,0,0,0
11,10,658387,12910856,99765430,61646,0,0
11,11,641292,6918279,112940543,53185,0,0
